K,T,beta,beta_coefficient,budget,delta,denominator,n_arms,normalized_regret,phase_regret,seed,stopped,tau
7,2048,1.5221851072034829,0.005,1.54541015625,0.05,501.32975404432693,123,0.03777908442386745,18.93977910223733,0,True,312
7,2048,1.5221851072034829,0.005,1.6162109375,0.05,501.32975404432693,123,0.056953838321507785,28.55265375760186,1,True,384
7,2048,1.5221851072034829,0.005,1.55322265625,0.05,501.32975404432693,123,0.0205296560270018,10.292127406631447,2,True,239
7,2048,1.5221851072034829,0.005,1.55419921875,0.05,501.32975404432693,123,0.024551920152848534,12.308608091543508,3,True,197
7,2048,1.5221851072034829,0.005,1.5224609375,0.05,501.32975404432693,123,0.00356220177220656,1.7858377383165802,4,True,104
7,2048,1.5221851072034829,0.005,1.67138671875,0.05,501.32975404432693,123,0.018620358066562436,9.334939529727045,5,True,242
7,2048,1.5221851072034829,0.005,1.63330078125,0.05,501.32975404432693,123,0.028570226978041856,14.323104863892318,6,True,248
7,2048,1.5221851072034829,0.005,1.62060546875,0.05,501.32975404432693,123,0.03414374818834146,17.117276881412657,7,True,305
7,2048,1.5221851072034829,0.005,1.55810546875,0.05,501.32975404432693,123,0.0519785949382174,26.058416215946227,8,True,410
7,2048,1.5221851072034829,0.005,1.61376953125,0.05,501.32975404432693,123,0.015878621848473967,7.96042558585833,9,True,180
7,2048,1.5221851072034829,0.005,1.54052734375,0.05,501.32975404432693,123,0.023575818536337067,11.819259308215546,10,True,255
7,2048,1.5221851072034829,0.005,1.6005859375,0.05,501.32975404432693,123,0.022711103110465203,11.385751736444869,11,True,216
7,2048,3.0443702144069658,0.01,3.064453125,0.05,502.8519391515305,123,0.06399975755854899,32.18240219354418,0,True,632
7,2048,3.0443702144069658,0.01,3.046875,0.05,502.8519391515305,123,0.08903843659888817,44.77315050277152,1,True,740
7,2048,3.0443702144069658,0.01,3.06982421875,0.05,502.8519391515305,123,0.04178898894676477,21.013674127062536,2,True,449
7,2048,3.0443702144069658,0.01,3.107421875,0.05,502.8519391515305,123,0.06228223240941471,31.318741341760486,3,True,499
7,2048,3.0443702144069658,0.01,3.06298828125,0.05,502.8519391515305,123,0.020371215995782208,10.24370546635376,4,True,341
7,2048,3.0443702144069658,0.01,3.07177734375,0.05,502.8519391515305,123,0.034634511585454865,17.41603131231213,5,True,427
7,2048,3.0443702144069658,0.01,3.05810546875,0.05,502.8519391515305,123,0.048260672171782364,24.267972586337066,6,True,455
7,2048,3.0443702144069658,0.01,3.115234375,0.05,502.8519391515305,123,0.0625793524004861,31.468148705431418,7,True,562
7,2048,3.0443702144069658,0.01,3.08056640625,0.05,502.8519391515305,123,0.07555064034305613,37.99078600064562,8,True,726
7,2048,3.0443702144069658,0.01,3.06005859375,0.05,502.8519391515305,123,0.051077016745158604,25.6841769163782,9,True,503
