K,T,beta,beta_coefficient,budget,delta,denominator,n_arms,normalized_regret,phase_regret,seed,stopped,tau
7,2048,3.0443702144069658,0.01,3.06396484375,0.05,502.8519391515305,123,0.04142713474353021,20.831715039275906,10,True,474
7,2048,3.0443702144069658,0.01,3.06787109375,0.05,502.8519391515305,123,0.05906815928246642,29.702538437299715,11,True,523
10,8192,4.305389646099019,0.005,4.3194580078125,0.05,1318.8945173523325,221,0.04765624198013764,62.853556265219595,0,True,1233
10,8192,4.305389646099019,0.005,4.8009033203125,0.05,1318.8945173523325,221,0.029913417836909515,39.45264278036943,1,True,1013
10,8192,4.305389646099019,0.005,4.3131103515625,0.05,1318.8945173523325,221,0.023484461576675587,30.973527616448948,2,True,749
10,8192,4.305389646099019,0.005,4.345947265625,0.05,1318.8945173523325,221,0.03833813641949856,50.563957929182436,3,True,1037
10,8192,4.305389646099019,0.005,4.52490234375,0.05,1318.8945173523325,221,0.03528296979228514,46.534515414952835,4,True,1023
10,8192,4.305389646099019,0.005,4.3460693359375,0.05,1318.8945173523325,221,0.039110802760407945,51.58302332995051,5,True,1041
10,8192,4.305389646099019,0.005,4.345703125,0.05,1318.8945173523325,221,0.008935205479315523,11.784593518085764,6,True,465
10,8192,4.305389646099019,0.005,4.545654296875,0.05,1318.8945173523325,221,0.04339477489796037,57.233130694658556,7,True,956
10,8192,4.305389646099019,0.005,4.3131103515625,0.05,1318.8945173523325,221,0.04687261284197032,61.82003209125319,8,True,1004
10,8192,4.305389646099019,0.005,4.419189453125,0.05,1318.8945173523325,221,0.026987166776258804,35.59322630008076,9,True,903
10,8192,4.305389646099019,0.005,4.330078125,0.05,1318.8945173523325,221,0.04485356960821864,59.15712703996077,10,True,1029
10,8192,4.305389646099019,0.005,4.5101318359375,0.05,1318.8945173523325,221,0.020745733481778435,27.361434147570293,11,True,599
10,8192,8.610779292198037,0.01,8.6549072265625,0.05,1323.1999069984315,221,0.07900761309108897,104.542866294297,0,True,2005
10,8192,8.610779292198037,0.01,8.6156005859375,0.05,1323.1999069984315,221,0.057782702259659514,76.45806625609953,1,True,1884
10,8192,8.610779292198037,0.01,8.6126708984375,0.05,1323.1999069984315,221,0.08604773345097251,113.85835289975265,2,True,2211
10,8192,8.610779292198037,0.01,9.07080078125,0.05,1323.1999069984315,221,0.06341950325506113,83.91668080898361,3,True,1804
10,8192,8.610779292198037,0.01,9.0240478515625,0.05,1323.1999069984315,221,0.06764359963784589,89.50600474983682,4,True,1883
10,8192,8.610779292198037,0.01,8.6170654296875,0.05,1323.1999069984315,221,0.0580894436604957,76.86394644915853,5,True,1619
10,8192,8.610779292198037,0.01,8.740234375,0.05,1323.1999069984315,221,0.039699976876742704,52.53100571114582,6,True,1223
10,8192,8.610779292198037,0.01,8.7047119140625,0.05,1323.1999069984315,221,0.08129850936820136,107.57418003511515,7,True,1935
10,8192,8.610779292198037,0.01,8.627197265625,0.05,1323.1999069984315,221,0.08114141645142617,107.3663147022481,8,True,1827
10,8192,8.610779292198037,0.01,8.7662353515625,0.05,1323.1999069984315,221,0.06755893089620153,89.39397107876732,9,True,2026
10,8192,8.610779292198037,0.01,8.66064453125,0.05,1323.1999069984315,221,0.07367197455763046,97.48274988304743,10,True,1941
10,8192,8.610779292198037,0.01,8.6348876953125,0.05,1323.1999069984315,221,0.05067854216821759,67.0578422838016,11,True,1405
13,32768,12.177480857627863,0.005,12.1807861328125,0.05,3662.4538840169043,328,0.04850355086434354,177.64201825172648,0,True,3608
13,32768,12.177480857627863,0.005,12.265228271484375,0.05,3662.4538840169043,328,0.037806555579905136,138.46476632492454,1,True,3274
13,32768,12.177480857627863,0.005,12.403564453125,0.05,3662.4538840169043,328,0.04666652815370753,170.91400729013037,2,True,3506
13,32768,12.177480857627863,0.005,12.347503662109375,0.05,3662.4538840169043,328,0.03462285815852731,126.8046213384647,3,True,3190
13,32768,12.177480857627863,0.005,12.28997802734375,0.05,3662.4538840169043,328,0.0420260675147185,153.9185341992374,4,True,3420
13,32768,12.177480857627863,0.005,12.182830810546875,0.05,3662.4538840169043,328,0.043731478170572505,160.16452207961373,5,True,3386
13,32768,12.177480857627863,0.005,12.22491455078125,0.05,3662.4538840169043,328,0.04225811035586183,154.76838040404112,6,True,3347
13,32768,12.177480857627863,0.005,12.190032958984375,0.05,3662.4538840169043,328,0.04022757336435498,147.33163231285687,7,True,3769
13,32768,12.177480857627863,0.005,12.23760986328125,0.05,3662.4538840169043,328,0.04092858489326498,149.8990547096539,8,True,3522
13,32768,12.177480857627863,0.005,12.208526611328125,0.05,3662.4538840169043,328,0.046846392328262626,171.57275153482516,9,True,3585
13,32768,12.177480857627863,0.005,12.194091796875,0.05,3662.4538840169043,328,0.04385515551576961,160.61748465289577,10,True,3315
13,32768,12.177480857627863,0.005,12.22509765625,0.05,3662.4538840169043,328,0.045001413979876184,164.81560341685014,11,True,3425
13,32768,24.354961715255726,0.01,24.371185302734375,0.05,3674.6313648745327,328,0.09472404934289674,348.07596272333126,0,True,7126
13,32768,24.354961715255726,0.01,24.437347412109375,0.05,3674.6313648745327,328,0.08941491155748942,328.56683849663295,1,True,7117
13,32768,24.354961715255726,0.01,24.39532470703125,0.05,3674.6313648745327,328,0.08341961400080017,306.536330053067,2,True,6631
13,32768,24.354961715255726,0.01,24.442626953125,0.05,3674.6313648745327,328,0.08212860129784522,301.79233428233726,3,True,6558
13,32768,24.354961715255726,0.01,24.355499267578125,0.05,3674.6313648745327,328,0.08267990758226504,303.8181816467188,4,True,7004
13,32768,24.354961715255726,0.01,24.366851806640625,0.05,3674.6313648745327,328,0.09226051040952811,339.0233652901853,5,True,7130
13,32768,24.354961715255726,0.01,24.3800048828125,0.05,3674.6313648745327,328,0.08328023447629108,306.02416168068464,6,True,6921
13,32768,24.354961715255726,0.01,24.365020751953125,0.05,3674.6313648745327,328,0.08002606837579668,294.06630086129644,7,True,7029
13,32768,24.354961715255726,0.01,24.38238525390625,0.05,3674.6313648745327,328,0.0791151471532881,290.71900116613654,8,True,6634
13,32768,24.354961715255726,0.01,24.376739501953125,0.05,3674.6313648745327,328,0.0917715364324555,337.2265661774269,9,True,6839
13,32768,24.354961715255726,0.01,24.362030029296875,0.05,3674.6313648745327,328,0.09118710260843663,335.07898731699356,10,True,6775
13,32768,24.354961715255726,0.01,24.35638427734375,0.05,3674.6313648745327,328,0.08844379361090639,324.9983380311264,11,True,6878
19,131072,34.44311716879215,0.005,34.47730255126953,0.05,9664.356587981534,573,0.046249740248909,446.9739818669784,0,True,9809
19,131072,34.44311716879215,0.005,34.59333801269532,0.05,9664.356587981534,573,0.05505567213127853,532.077647667673,1,True,10791
19,131072,34.44311716879215,0.005,34.47027587890625,0.05,9664.356587981534,573,0.052727792542882825,509.58018923153327,2,True,10305
19,131072,34.44311716879215,0.005,34.563758850097656,0.05,9664.356587981534,573,0.0530994540885835,513.1720589392249,3,True,10642
19,131072,34.44311716879215,0.005,34.47235870361329,0.05,9664.356587981534,573,0.05341568681025462,516.2282447262426,4,True,10366
19,131072,34.44311716879215,0.005,34.65204620361328,0.05,9664.356587981534,573,0.04771513875984119,461.1361156201242,5,True,9832
19,131072,34.44311716879215,0.005,34.47516632080078,0.05,9664.356587981534,573,0.048715793035189706,470.80679535838055,6,True,9180
19,131072,34.44311716879215,0.005,34.68529510498047,0.05,9664.356587981534,573,0.04565800947301047,441.25528464461206,7,True,9390
19,131072,34.44311716879215,0.005,34.732757568359375,0.05,9664.356587981534,573,0.05026935612122759,485.8209830037757,8,True,9734
19,131072,34.44311716879215,0.005,34.445579528808594,0.05,9664.356587981534,573,0.045740036727489726,442.0480252818327,9,True,9685
19,131072,34.44311716879215,0.005,34.45905303955078,0.05,9664.356587981534,573,0.04677003202916246,452.00226716114355,10,True,9426
19,131072,34.44311716879215,0.005,34.608741760253906,0.05,9664.356587981534,573,0.050178730406915985,484.9451437846278,11,True,10138
19,131072,68.8862343375843,0.01,68.92335510253906,0.05,9698.799705150326,573,0.08992686382118835,872.1826403140351,0,True,19099
19,131072,68.8862343375843,0.01,68.91082000732422,0.05,9698.799705150326,573,0.09818141994463495,952.2419268102658,1,True,20361
19,131072,68.8862343375843,0.01,69.20519256591797,0.05,9698.799705150326,573,0.09526655864580352,923.9712709046055,2,True,19571
19,131072,68.8862343375843,0.01,68.92376708984375,0.05,9698.799705150326,573,0.10038247945426303,973.589562133265,3,True,20919
19,131072,68.8862343375843,0.01,69.22892761230469,0.05,9698.799705150326,573,0.09518719869234425,923.2015746113939,4,True,19860
19,131072,68.8862343375843,0.01,68.97128295898438,0.05,9698.799705150326,573,0.08594482724889217,833.5616651807511,5,True,18285
19,131072,68.8862343375843,0.01,68.98085021972656,0.05,9698.799705150326,573,0.09386107430519018,910.3397597962714,6,True,18568
19,131072,68.8862343375843,0.01,68.94718170166016,0.05,9698.799705150326,573,0.09015942039291987,874.4381599233755,7,True,18881
19,131072,68.8862343375843,0.01,68.89266967773438,0.05,9698.799705150326,573,0.10049706665221532,974.7009204149786,8,True,20064
19,131072,68.8862343375843,0.01,68.88895416259766,0.05,9698.799705150326,573,0.09395093658172343,911.2113160174163,9,True,19579
19,131072,68.8862343375843,0.01,69.11538696289062,0.05,9698.799705150326,573,0.09666237012731813,937.5089668899648,10,True,19388
19,131072,68.8862343375843,0.01,69.03268432617188,0.05,9698.799705150326,573,0.09170494283761374,889.4278725542756,11,True,19452
