K,T,cumulative_profit,delta,profit_shortfall,pseudo_regret,scale,seed,sweep
8,32768,-4078.5714285714434,0.05,4078.5714285714434,1020.2863788921459,2506.492754617156,7,T
8,32768,-4031.8571428571477,0.05,4031.8571428571477,1160.52677871069,2506.492754617156,8,T
8,32768,-4019.428571428565,0.05,4019.428571428565,1075.3430011138594,2506.492754617156,9,T
8,32768,-4059.428571428568,0.05,4059.428571428568,1115.5769246691038,2506.492754617156,10,T
8,32768,-3923.000000000001,0.05,3923.000000000001,1072.8934595240476,2506.492754617156,11,T
8,131072,-17326.99999999907,0.05,17326.99999999907,2697.1961742928233,5012.985509234312,0,T
8,131072,-17380.714285713097,0.05,17380.714285713097,2721.710416916736,5012.985509234312,1,T
8,131072,-17204.1428571412,0.05,17204.1428571412,2787.3653148966278,5012.985509234312,2,T
8,131072,-17314.71428571274,0.05,17314.71428571274,2779.91457328505,5012.985509234312,3,T
8,131072,-17252.57142856948,0.05,17252.57142856948,2851.5647143101633,5012.985509234312,4,T
8,131072,-17444.42857142744,0.05,17444.42857142744,2771.493976871252,5012.985509234312,5,T
8,131072,-17106.999999998632,0.05,17106.999999998632,2761.982320462994,5012.985509234312,6,T
8,131072,-17523.857142856275,0.05,17523.857142856275,2731.1114344264915,5012.985509234312,7,T
8,131072,-17354.428571427692,0.05,17354.428571427692,2799.8047924806942,5012.985509234312,8,T
8,131072,-17583.714285713315,0.05,17583.714285713315,2778.5787012264573,5012.985509234312,9,T
8,131072,-17318.28571428417,0.05,17318.28571428417,2809.7931073121854,5012.985509234312,10,T
8,131072,-17113.999999998094,0.05,17113.999999998094,2883.625668223576,5012.985509234312,11,T
4,32768,-4719.999999999919,0.05,4719.999999999919,555.7235660316346,1253.246377308578,0,K
4,32768,-4646.999999999922,0.05,4646.999999999922,429.5282005533413,1253.246377308578,1,K
4,32768,-4684.999999999976,0.05,4684.999999999976,552.2375681283743,1253.246377308578,2,K
4,32768,-4849.666666666599,0.05,4849.666666666599,489.0600250530215,1253.246377308578,3,K
4,32768,-4695.6666666666315,0.05,4695.6666666666315,506.7179100798162,1253.246377308578,4,K
4,32768,-4612.666666666672,0.05,4612.666666666672,499.49403357064466,1253.246377308578,5,K
4,32768,-4669.9999999999245,0.05,4669.9999999999245,480.1924407048191,1253.246377308578,6,K
4,32768,-4757.999999999945,0.05,4757.999999999945,540.6760531807959,1253.246377308578,7,K
4,32768,-4682.3333333332985,0.05,4682.3333333332985,483.81358861976605,1253.246377308578,8,K
4,32768,-4752.333333333249,0.05,4752.333333333249,442.92032379229795,1253.246377308578,9,K
4,32768,-4674.333333333225,0.05,4674.333333333225,551.9187493477489,1253.246377308578,10,K
4,32768,-4778.666666666603,0.05,4778.666666666603,492.4961165144505,1253.246377308578,11,K
8,32768,-4006.428571428562,0.05,4006.428571428562,1127.6470271614044,2506.492754617156,0,K
8,32768,-4000.5714285714516,0.05,4000.5714285714516,1079.5739116173845,2506.492754617156,1,K
8,32768,-4070.4285714285643,0.05,4070.4285714285643,1063.711332017548,2506.492754617156,2,K
8,32768,-3930.857142857154,0.05,3930.857142857154,1143.8503084835188,2506.492754617156,3,K
8,32768,-4075.5714285714444,0.05,4075.5714285714444,1131.172610996724,2506.492754617156,4,K
8,32768,-4055.2857142857206,0.05,4055.2857142857206,1117.0257668008308,2506.492754617156,5,K
8,32768,-3981.7142857143053,0.05,3981.7142857143053,1160.5350452223302,2506.492754617156,6,K
8,32768,-4106.428571428585,0.05,4106.428571428585,1099.648959614865,2506.492754617156,7,K
8,32768,-4035.0000000000114,0.05,4035.0000000000114,1097.8380645650118,2506.492754617156,8,K
8,32768,-4062.428571428577,0.05,4062.428571428577,1141.6869924063708,2506.492754617156,9,K
8,32768,-4028.857142857178,0.05,4028.857142857178,1055.3004335980168,2506.492754617156,10,K
8,32768,-4044.1428571428833,0.05,4044.1428571428833,1071.3904106232112,2506.492754617156,11,K
