K,N,bound,failed,max_error,rounds,seed,trial
8,256,0.18265521779042768,False,0.0832156523323615,4096,5080000,0
8,256,0.18265521779042768,False,0.0630580357142857,4096,5080001,1
8,256,0.18265521779042768,False,0.0703125,4096,5080002,2
8,256,0.18265521779042768,False,0.04799107142857145,4096,5080003,3
8,256,0.18265521779042768,False,0.0680803571428571,4096,5080004,4
8,256,0.18265521779042768,False,0.04280931122448983,4096,5080005,5
8,256,0.18265521779042768,False,0.07015306122448983,4096,5080006,6
8,256,0.18265521779042768,False,0.0580357142857143,4096,5080007,7
8,256,0.18265521779042768,False,0.0599717565597668,4096,5080008,8
8,256,0.18265521779042768,False,0.04287764212827985,4096,5080009,9
8,256,0.18265521779042768,False,0.041294642857142905,4096,5080010,10
8,256,0.18265521779042768,False,0.0686383928571429,4096,5080011,11
8,256,0.18265521779042768,False,0.05571246355685133,4096,5080012,12
8,256,0.18265521779042768,False,0.07133746355685133,4096,5080013,13
8,256,0.18265521779042768,False,0.0613839285714286,4096,5080014,14
8,256,0.18265521779042768,False,0.0513392857142857,4096,5080015,15
8,256,0.18265521779042768,False,0.05747767857142855,4096,5080016,16
8,256,0.18265521779042768,False,0.0675223214285714,4096,5080017,17
8,256,0.18265521779042768,False,0.0591517857142857,4096,5080018,18
8,256,0.18265521779042768,False,0.046829446064139926,4096,5080019,19
8,256,0.18265521779042768,False,0.056361607142857095,4096,5080020,20
8,256,0.18265521779042768,False,0.07302295918367352,4096,5080021,21
8,256,0.18265521779042768,False,0.068775054664723,4096,5080022,22
8,256,0.18265521779042768,False,0.09375,4096,5080023,23
8,256,0.18265521779042768,False,0.0647321428571429,4096,5080024,24
8,256,0.18265521779042768,False,0.0417843476676385,4096,5080025,25
8,256,0.18265521779042768,False,0.055245535714285726,4096,5080026,26
8,256,0.18265521779042768,False,0.05592884475218657,4096,5080027,27
8,256,0.18265521779042768,False,0.07015306122448983,4096,5080028,28
8,256,0.18265521779042768,False,0.0401785714285714,4096,5080029,29
8,256,0.18265521779042768,False,0.05691964285714285,4096,5080030,30
8,256,0.18265521779042768,False,0.07692920918367352,4096,5080031,31
8,256,0.18265521779042768,False,0.09375,4096,5080032,32
8,256,0.18265521779042768,False,0.0703125,4096,5080033,33
8,256,0.18265521779042768,False,0.078125,4096,5080034,34
8,256,0.18265521779042768,False,0.0703125,4096,5080035,35
8,256,0.18265521779042768,False,0.06301248177842562,4096,5080036,36
8,256,0.18265521779042768,False,0.04408482142857145,4096,5080037,37
8,256,0.18265521779042768,False,0.057397959183673464,4096,5080038,38
8,256,0.18265521779042768,False,0.05069014212827985,4096,5080039,39
8,256,0.18265521779042768,False,0.04696610787172015,4096,5080040,40
8,256,0.18265521779042768,False,0.0864955357142857,4096,5080041,41
8,256,0.18265521779042768,False,0.0619419642857143,4096,5080042,42
8,256,0.18265521779042768,False,0.056361607142857095,4096,5080043,43
8,256,0.18265521779042768,False,0.04807079081632648,4096,5080044,44
8,256,0.18265521779042768,False,0.06760204081632648,4096,5080045,45
8,256,0.18265521779042768,False,0.06082589285714285,4096,5080046,46
8,256,0.18265521779042768,False,0.04767219387755098,4096,5080047,47
8,256,0.18265521779042768,False,0.05636160714285715,4096,5080048,48
8,256,0.18265521779042768,False,0.07421875,4096,5080049,49
8,256,0.18265521779042768,False,0.0457589285714286,4096,5080050,50
8,256,0.18265521779042768,False,0.08602860787172015,4096,5080051,51
8,256,0.18265521779042768,False,0.06640625,4096,5080052,52
8,256,0.18265521779042768,False,0.05859375,4096,5080053,53
8,256,0.18265521779042768,False,0.07022139212827985,4096,5080054,54
